ID-SpeciesName,SPGroup,HW,HL,SL,ML,WL,PrW,HFL,PtW,PtL,Ppw,PpL,GW
01aberrans,aberrans,59,58,40,47,84,40,60,20,25,34,26,50
02aberrans,aberrans,53,53,37,40,77,34,58,18,22,30,24,45
03aberrans,aberrans,63,61,41,48,89,40,65,22,25,38,28,55
01excavata,aberrans,57,55,37,44,82,39,56,20,25,33,22,48
02excavata,aberrans,53,52,35,41,75,35,50,17,22,30,21,43
01froggatti,aberrans,66,61,45,51,95,42,66,23,27,40,25,55
01maura,aberrans,69,67,43,50,90,44,69,25,27,40,26,59
02maura,aberrans,62,62,41,45,88,40,65,21,25,37,22,55
03maura,aberrans,65,63,40,50,-,-,-,-,-,38,-,56
01forrnosa,aberrans,62,60,41,47,87,40,65,20,24,34,25,48
02forrnosa,aberrans,66,65,41,49,91,43,68,23,27,40,27,55
01nobilis,aberrans,69,65,45,49,95,45,67,23,26,40,27,61
02nobilis,aberrans,55,55,40,42,89,42,62,22,22,40,26,59
03nobilis,aberrans,60,57,40,45,86,39,65,18,24,35,24,50
01callima,cephalotes,53,45,46,52,84,36,65,20,24,31,22,46
02callima,cephalotes,49,44,45,49,84,33,65,19,24,29,20,45
03callima,cephalotes,55,48,47,52,85,36,67,20,25,32,21,49
04callima,cephalotes,53,47,45,52,84,37,66,20,25,31,19,48
01hilli,cephalotes,55,50,50,54,92,38,60,22,25,35,24,50
02hiIli,cephalotes,55,50,49,53,91,39,70,20,26,35,25,50
03hilli,cephalotes,68,58,55,59,-,49,80,29,32,47,30,67
04hilli,cephalotes,63,-,53,-,-,-,-,-,-,-,-,-
05hilli,cephalotes,56,-,50,-,-,-,-,-,-,-,-,-
01cephalotes,cephalotes,57,50,46,51,93,40,69,23,28,42,23,59
02cephalotes,cephalotes,51,-,46,-,-,-,-,-,-,-,-,-
03cephalotes,cephalotes,61,-,50,-,-,-,-,-,-,-,-,-
01arnoldi,gulosa,75,77,98,85,-,46,-,20,50,31,30,74
02arnoldi,gulosa,74,74,90,80,-,47,-,23,50,33,28,75
03arnoldi,gulosa,73,74,95,82,-,46,-,22,49,33,27,72
04arnoldi,gulosa,71,72,92,80,-,43,-,22,47,31,27,68
01auriventris,gulosa,70,66,65,68,-,46,-,22,33,35,26,69
02auriventris,gulosa,66,62,60,60,-,41,-,20,32,33,24,62
03auriventris,gulosa,70,67,65,66,-,44,-,21,32,33,26,66
04auriventris,gulusa,64,60,59,61,-,40,-,18,31,30,24,57
05auriventris,gulosa,57,65,65,66,-,44,-,20,36,34,29,64
06auriventris,gulosa,75,71,66,70,-,51,-,24,40,38,30,71
01atrata,gulosa,70,73,90,80,-,44,-,21,51,32,28,68
02atrata,gulosa,69,71,90,76,-,46,-,23,50,34,32,69
03atrata,gulosa,62,64,83,72,-,36,-,17,44,27,27,57
04atrata,gulosa,74,77,94,85,-,47,-,24,55,35,35,73
05atrata,gulosa,51,55,70,61,-,34,-,16,36,26,25,55
06atrata,gulosa,83,84,103,99,-,52,-,25,60,40,37,85
01brevinoda,gulosa,65,64,67,67,-,41,-,24,37,36,27,67
02brevinoda,gulosa,46,48,49,49,91,30,72,18,29,-,-,-
03brevinoda,gulosa,66,66,68,75,-,44,-,25,37,37,28,67
01cardigaster,gulosa,54,57,55,62,-,36,-,16,23,26,24,56
01cornata,gulosa,83,81,76,85,-,56,-,29,48,42,35,80
02cornata,gulosa,74,76,73,80,-,52,-,27,43,39,31,71
01decipians,gulosa,82,76,85,87,-,55,-,28,48,42,33,78
02decipians,gulosa,72,72,80,82,-,47,-,25,45,38,28,73
03decipians,gulosa,90,86,90,93,-,58,-,30,50,48,37,87
01desertorum,gulosa,78,81,100,86,-,52,-,26,53,38,30,78
02desertorum,gulosa,70,74,90,79,-,45,-,24,50,34,28,74
03desertorum,gulosa,80,82,97,87,-,55,-,29,56,42,33,84
04desertorum,gulosa,88,87,-,-,-,54,-,29,65,42,36,85
05desertorum,gulosa,87,90,-,-,-,55,-,30,67,40,36,85
06desertorum,gulosa,66,70,90,79,-,41,-,21,47,33,30,67
07desertorum,gulosa,52,55,71,60,-,35,-,17,40,27,20,55
01dimidiata,gulosa,80,83,-,95,-,51,-,26,56,40,33,79
02dimidiata,gulosa,75,78,93,87,-,48,-,24,53,36,31,73
03dimidiata,gulosa,75,77,91,83,-,45,-,24,54,35,30,74
01esuriens,gulosa,58,59,64,57,-,40,88,25,31,39,30,64
02esuriens,gulosa,64,66,67,59,-,43,90,28,30,44,33,70
03esuriens,gulosa,55,58,60,50,-,38,63,25,30,39,30,61
04esuriens,gulosa,69,67,65,60,-,50,92,30,36,47,37,75
05esuriens,gulosa,53,53,57,48,-,40,75,23,28,35,27,58
01fasciata,gulosa,68,72,91,75,-,44,-,24,49,34,32,69
02fasciata,gulosa,72,77,93,84,-,46,-,25,53,35,33,73
03fasciata,gulosa,78,81,97,86,-,50,-,27,56,40,34,80
01minuscula,gulosa,68,69,75,70,-,42,-,21,38,34,30,62
01forceps,gulosa,95,90,-,-,-,52,-,26,55,40,35,82
02forceps,gulosa,84,81,98,100,-,45,-,24,48,35,33,72
03forceps,gulosa,72,68,86,79,-,40,-,20,40,31,25,68
01forficata,gulosa,69,68,67,67,-,45,-,28,44,40,30,75
02forficata,gulosa,60,62,67,65,-,40,-,22,39,34,25,65
01fulgida,gulosa,87,88,-,95,-,57,-,30,57,42,37,87
02fulgida,gulosa,79,80,93,80,-,52,-,27,49,38,33,78
03fulgida,gulosa,88,88,-,92,-,60,-,30,57,43,38,90
04fulgida,gulosa,85,85,-,-,-,-,-,-,-,42,-,89
05fulgida,gulosa,82,83,-,-,-,-,-,-,-,39,-,82
01gratiosa,gulosa,68,73,94,81,-,44,-,24,51,35,30,70
02gratiosa,gulosa,69,73,91,82,-,45,-,24,52,35,29,70
01gulosa,gulosa,77,79,88,82,-,52,-,25,47,40,34,73
01hirsuta,gulosa,79,78,93,92,-,52,-,28,50,40,31,75
02hirsuta,gulosa,62,63,76,74,-,40,-,24,43,34,27,65
03hirsuta,gulosa,59,61,75,68,-,40,-,21,39,29,26,57
01loginodis,gulosa,77,76,80,85,-,48,-,26,48,39,31,74
02loginodis,gulosa,55,55,57,58,-,35,-,20,35,29,23,58
03loginodis,gulosa,80,79,83,90,-,50,-,26,48,40,35,75
01midas,gulosa,64,60,60,63,-,39,92,21,33,35,23,63
02midas,gulosa,59,58,56,60,-,38,87,20,30,31,23,57
03midas,gulosa,58,57,58,55,-,38,-,20,-,-,-,-
04midas,gulosa,-,-,-,-,-,-,-,20,32,32,26,61
01mjobergi,gulosa,70,83,99,-,-,43,-,25,55,40,33,79
01nigriceps,gulosa,75,79,98,90,-,50,-,26,55,36,35,75
02nigriceps,gulosa,74,80,97,87,-,49,-,25,53,35,33,74
01nigriscapa,gulosa,69,71,80,76,-,45,-,25,41,36,29,74
01pavida,gulosa,75,81,-,91,-,50,-,25,55,37,34,72
02pavida,gulosa,61,64,82,66,-,40,-,20,43,28,26,59
01picticeps,gulosa,68,66,72,64,-,43,-,24,36,36,25,71
02picticeps,gulosa,73,71,77,70,-,47,-,25,40,38,27,75
03picticeps,gulosa,69,68,74,66,-,45,-,24,38,38,25,73
01pulchra,gulosa,73,68,68,63,-,45,95,25,36,39,32,70
02pulchra,gulosa,68,65,65,62,-,45,92,23,32,38,30,69
03pulchra,gulosa,77,73,75,71,-,49,-,28,38,43,37,77
04pulchra,gulosa,63,60,64,59,-,42,90,22,30,35,30,63
05pulchra,gulosa,58,58,57,54,-,37,82,20,29,35,29,61
06pulchra,gulosa,74,70,73,68,-,45,-,25,38,42,35,74
01pyriformis,gulosa,63,63,69,73,-,40,-,22,41,32,30,65
02pyriformis,gulosa,67,70,71,75,-,45,-,25,45,35,31,70
03pyriformis,gulosa,76,75,80,84,-,50,-,29,47,39,34,71
04pyriformis,gulosa,60,60,67,62,-,39,-,20,38,30,27,58
01regularis,gulosa,58,59,61,65,-,38,-,20,35,30,25,60
02regularis,gulosa,59,60,63,63,-,38,-,20,36,30,26,58
03regularis,gulosa,66,65,68,67,-,42,-,22,40,34,30,65
04regularis,gulosa,67,66,70,68,-,44,-,23,40,35,28,66
01roWLandi,gulosa,58,63,60,69,-,40,-,18,36,30,25,60
02roWLandi,gulosa,65,67,64,75,-,44,-,20,38,34,28,65
03roWLandi,gulosa,66,68,65,77,-,45,-,20,40,33,29,65
01rubripes,gulosa,80,80,100,88,-,50,-,25,50,38,33,85
02rubripes,gulosa,75,74,99,80,-,46,-,20,49,32,34,70
03rubripes,gulosa,70,69,95,78,-,45,-,20,46,31,31,69
04rubripes,gulosa,70,71,94,77,-,43,-,20,47,30,30,67
01rufinodis,gulosa,67,70,85,72,-,44,-,20,45,30,26,68
02rufinadis,gulosa,41,47,52,41,80,27,80,14,29,20,19,-
03rufinodis,gulosa,44,48,59,43,-,30,82,13,-,20,-,50
04rufinodis,gulosa,80,80,96,82,-,52,-,26,51,39,32,84
01suttoni,gulosa,80,82,100,85,-,51,-,26,57,37,35,85
02suttoni,gulosa,88,88,--,95,-,56,-,33,60,45,42,93
03suttoni,gulosa,71,75,94,82,-,45,-,23,51,-,30,70
04suttoni,gulosa,-,-,-,-,-,-,-,-,-,35,-,80
01tarsata,gulosa,79,78,80,84,-,55,-,30,46,45,40,83
02tarsata,gulosa,-,-,-,-,-,51,-,30,45,45,38,80
03tarsata,gulosa,74,73,77,76,-,53,-,27,-,42,-,77
